item_name,kind_name,rank,unit,day1,dpr1,item_code,rank_code,day2,dpr2,day3,dpr3,day4,dpr4,day5,dpr5,day6,dpr6,day7,dpr7
쌀,20kg(1kg),상품,20kg,당일 (02/14),"2,782",111,04,1일전 (02/13),"2,765",1주일전 (02/07),"2,743",2주일전 (01/31),"2,771",1개월전,"2,822",1년전,"2,499",일평년,"2,602"
찹쌀,일반계(1kg),상품,1kg,당일 (02/14),"3,888",112,04,1일전 (02/13),"3,888",1주일전 (02/07),"3,888",2주일전 (01/31),"3,888",1개월전,"3,835",1년전,"3,563",일평년,"4,538"
콩,흰 콩(국산)(1kg),상품,500g,당일 (02/14),"10,754",141,04,1일전 (02/13),"10,800",1주일전 (02/07),"10,800",2주일전 (01/31),"10,754",1개월전,"9,873",1년전,"12,337",일평년,"11,075"
팥,붉은 팥(국산)(1kg),상품,500g,당일 (02/14),"17,620",142,04,1일전 (02/13),"17,620",1주일전 (02/07),"17,620",2주일전 (01/31),"17,580",1개월전,"15,607",1년전,"15,093",일평년,"15,842"
녹두,국산(1kg),상품,500g,당일 (02/14),"25,274",143,04,1일전 (02/13),"24,220",1주일전 (02/07),"23,687",2주일전 (01/31),"24,637",1개월전,"25,170",1년전,"27,380",일평년,"18,427"
고구마,밤(1kg),상품,1kg,당일 (02/14),"4,956",151,04,1일전 (02/13),"4,918",1주일전 (02/07),"5,277",2주일전 (01/31),"5,023",1개월전,"5,347",1년전,"5,037",일평년,"5,147"
감자,수미(노지)(1kg),상품,100g,당일 (02/14),"4,193",152,04,1일전 (02/13),"4,093",1주일전 (02/07),"4,093",2주일전 (01/31),"4,060",1개월전,"3,425",1년전,"4,894",일평년,"4,488"
메밀,메밀(수입)(1kg),중품,1kg,당일 (02/14),"3,600",144,05,1일전 (02/13),"3,600",1주일전 (02/07),"3,400",2주일전 (01/31),"3,100",1개월전,"3,100",1년전,"4,600",일평년,"3,650"
양배추,양배추(1포기),상품,1포기,당일 (02/14),"3,634",212,04,1일전 (02/13),"3,634",1주일전 (02/07),"3,382",2주일전 (01/31),"3,157",1개월전,"3,176",1년전,"3,703",일평년,"3,727"
시금치,시금치(1kg),상품,100g,당일 (02/14),"12,922",213,04,1일전 (02/13),"13,056",1주일전 (02/07),"10,062",2주일전 (01/31),"12,646",1개월전,"6,572",1년전,"8,520",일평년,"5,497"
상추,적(1kg),상품,100g,당일 (02/14),"11,995",214,04,1일전 (02/13),"12,195",1주일전 (02/07),"12,413",2주일전 (01/31),"12,633",1개월전,"12,298",1년전,"11,751",일평년,"10,129"
적상추,적(1kg),상품,100g,당일 (02/14),"11,995",214,04,1일전 (02/13),"12,195",1주일전 (02/07),"12,413",2주일전 (01/31),"12,633",1개월전,"12,298",1년전,"11,751",일평년,"10,129"
청상추,청(1kg),상품,100g,당일 (02/14),"12,820",214,04,1일전 (02/13),"13,020",1주일전 (02/07),"13,175",2주일전 (01/31),"13,395",1개월전,"13,235",1년전,"12,090",일평년,"10,063"
얼갈이배추,얼갈이배추(1kg),상품,1kg,당일 (02/14),"4,370",215,04,1일전 (02/13),"4,414",1주일전 (02/07),"4,322",2주일전 (01/31),"4,188",1개월전,"3,967",1년전,"3,829",일평년,"2,915"
수박,수박(1개),상품,1개,당일 (02/14),-,221,04,1일전 (02/13),-,1주일전 (02/07),"39,863",2주일전 (01/31),"27,990",1개월전,"23,990",1년전,-,일평년,"24,393"
오이,가시계통(10개),상품,10개,당일 (02/14),"28,300",223,04,1일전 (02/13),"28,300",1주일전 (02/07),"24,960",2주일전 (01/31),"23,300",1개월전,"24,960",1년전,"22,966",일평년,"19,626"
가시오이,가시계통(10개),상품,10개,당일 (02/14),"28,300",223,04,1일전 (02/13),"28,300",1주일전 (02/07),"24,960",2주일전 (01/31),"23,300",1개월전,"24,960",1년전,"22,966",일평년,"19,626"
다다기오이,다다기계통(10개),상품,10개,당일 (02/14),"16,297",223,04,1일전 (02/13),"17,493",1주일전 (02/07),"16,417",2주일전 (01/31),"16,124",1개월전,"12,093",1년전,"12,710",일평년,"11,082"
취청오이,취청(10개),상품,10개,당일 (02/14),"21,420",223,04,1일전 (02/13),"22,625",1주일전 (02/07),"22,756",2주일전 (01/31),"20,916",1개월전,"17,691",1년전,"17,498",일평년,"13,180"
